#time,accel_x,accel_y,accel_z
1136.400340,-3627.009116,-8808.450710,919.314598
1136.400653,-3701.029710,-8808.450710,842.705048
1136.400965,-3849.070898,-8808.450710,842.705048
1136.401278,-3256.906145,-9252.574275,306.438199
1136.401590,-3849.070898,-8512.368333,536.266849
1136.401902,-3478.967927,-9030.512492,1225.752797
1136.402215,-3552.988522,-8882.471304,919.314598
1136.402527,-3701.029710,-8956.491898,1149.143247
1136.402840,-3701.029710,-8808.450710,995.924147
1136.403152,-3552.988522,-8734.430116,995.924147
1136.403465,-3478.967927,-8882.471304,919.314598
1136.403777,-3849.070898,-8956.491898,1838.629195
1136.404090,-3404.947333,-8808.450710,612.876398
1136.404402,-3849.070898,-8660.409521,536.266849
1136.404715,-3552.988522,-8882.471304,689.485948
1136.405027,-3775.050304,-8808.450710,536.266849
1136.405340,-3627.009116,-8882.471304,919.314598
1136.405652,-3256.906145,-8882.471304,1455.581446
1136.405965,-3182.885551,-8882.471304,919.314598
1136.406277,-3404.947333,-9030.512492,919.314598
1136.406590,-3627.009116,-8512.368333,995.924147
1136.406902,-3627.009116,-8660.409521,766.095498
1136.407215,-3627.009116,-8734.430116,995.924147
1136.407527,-3701.029710,-8956.491898,919.314598
1136.407839,-3775.050304,-8808.450710,842.705048
1136.408152,-3478.967927,-8882.471304,1149.143247
1136.408464,-3330.926739,-8882.471304,1532.190996
1136.408777,-3552.988522,-8882.471304,1225.752797
1136.409089,-3404.947333,-8808.450710,919.314598
1136.409402,-3627.009116,-8808.450710,919.314598
1136.409714,-3627.009116,-8956.491898,919.314598
1136.410027,-3701.029710,-8882.471304,842.705048
1136.410339,-3552.988522,-8734.430116,919.314598
1136.410652,-3627.009116,-8586.388927,919.314598
1136.410964,-3775.050304,-8364.327145,612.876398
1136.411277,-3256.906145,-8808.450710,536.266849
1136.411589,-3478.967927,-8512.368333,919.314598
1136.411902,-3627.009116,-8808.450710,995.924147
1136.412214,-3849.070898,-8882.471304,842.705048
1136.412527,-3775.050304,-8808.450710,919.314598
1136.412839,-3627.009116,-8808.450710,689.485948
1136.413152,-3552.988522,-8808.450710,1072.533697
1136.413464,-3478.967927,-8660.409521,842.705048
1136.413776,-3701.029710,-8512.368333,842.705048
1136.414089,-3627.009116,-8808.450710,919.314598
1136.414401,-3701.029710,-8956.491898,766.095498
1136.414714,-3552.988522,-8734.430116,766.095498
1136.415026,-3627.009116,-9104.533087,995.924147
1136.415339,-3627.009116,-8290.306550,842.705048
1136.415651,-3775.050304,-8364.327145,766.095498
1136.415964,-3108.864956,-9178.553681,995.924147
1136.416276,-3552.988522,-8586.388927,995.924147
1136.416589,-3552.988522,-8808.450710,842.705048
1136.416901,-3478.967927,-8882.471304,766.095498
1136.417214,-3701.029710,-8734.430116,919.314598
1136.417526,-3701.029710,-8734.430116,995.924147
1136.417839,-3627.009116,-8512.368333,842.705048
1136.418151,-3627.009116,-8068.244768,612.876398
1136.418464,-3775.050304,-8290.306550,306.438199
1136.418776,-3627.009116,-9104.533087,1378.971896
1136.419088,-3701.029710,-8882.471304,919.314598
1136.419401,-3552.988522,-8956.491898,919.314598
1136.419713,-3627.009116,-8882.471304,1149.143247
1136.420026,-3701.029710,-8586.388927,689.485948
1136.420338,-3404.947333,-8882.471304,842.705048
1136.420651,-3404.947333,-8882.471304,995.924147
1136.420963,-3404.947333,-8956.491898,689.485948
1136.421276,-3923.091493,-8586.388927,1455.581446
1136.421588,-3775.050304,-8882.471304,1072.533697
1136.421901,-3552.988522,-9030.512492,919.314598
1136.422213,-3627.009116,-8956.491898,842.705048
1136.422526,-3775.050304,-8808.450710,919.314598
1136.422838,-3701.029710,-8364.327145,1072.533697
1136.423151,-3478.967927,-8956.491898,919.314598
1136.423463,-3478.967927,-8660.409521,1225.752797
1136.423776,-3404.947333,-8660.409521,1149.143247
1136.424088,-3701.029710,-8734.430116,842.705048
1136.424401,-3627.009116,-8956.491898,842.705048
1136.424713,-3849.070898,-8808.450710,995.924147
1136.425025,-3701.029710,-8956.491898,229.828649
1136.425338,-3034.844362,-8734.430116,995.924147
1136.425650,-3108.864956,-8438.347739,612.876398
1136.425963,-3108.864956,-9104.533087,612.876398
1136.426275,-3552.988522,-8882.471304,1378.971896
1136.426588,-3330.926739,-9178.553681,1532.190996
1136.426900,-3256.906145,-9178.553681,1455.581446
1136.427213,-3552.988522,-9030.512492,919.314598
1136.427525,-3404.947333,-8660.409521,612.876398
1136.427838,-3182.885551,-8438.347739,1072.533697
1136.428150,-2886.803174,-8512.368333,995.924147
1136.428463,-3478.967927,-8216.285956,1149.143247
1136.428775,-3997.112087,-8364.327145,1302.362347
1136.429088,-4293.194464,-8808.450710,1685.410096
1136.429400,-3849.070898,-8808.450710,1302.362347
1136.429713,-3552.988522,-9104.533087,919.314598
1136.430025,-3552.988522,-8956.491898,306.438199
1136.430338,-3701.029710,-8734.430116,1072.533697
1136.430650,-3997.112087,-8512.368333,1378.971896
1136.430962,-3034.844362,-8956.491898,1302.362347
1136.431275,-2590.720797,-9326.594869,766.095498
1136.431587,-3182.885551,-9178.553681,1378.971896
1136.431900,-3701.029710,-8808.450710,1762.019645
1136.432212,-3256.906145,-9178.553681,1991.848295
1136.432525,-3108.864956,-9400.615463,1762.019645
1136.432837,-2960.823768,-9622.677246,1378.971896
1136.433150,-3923.091493,-8438.347739,1072.533697
1136.433462,-3627.009116,-8586.388927,1532.190996
1136.433775,-3701.029710,-8734.430116,1455.581446
1136.434087,-3775.050304,-8586.388927,1072.533697
1136.434400,-3552.988522,-8438.347739,1302.362347
1136.434712,-4145.153275,-8586.388927,919.314598
1136.435025,-4293.194464,-8290.306550,1302.362347
1136.435337,-3256.906145,-8586.388927,1378.971896
1136.435650,-3108.864956,-8660.409521,919.314598
1136.435962,-3775.050304,-8808.450710,1915.238745
1136.436274,-4219.173869,-8438.347739,1991.848295
1136.436587,-3404.947333,-8586.388927,1072.533697
1136.436899,-2368.659014,-9474.636058,612.876398
1136.437212,-2146.597232,-9696.697840,689.485948
1136.437524,-2220.617826,-8808.450710,1302.362347
1136.437837,-2368.659014,-8216.285956,1532.190996
1136.438149,-2072.576638,-9770.718434,1991.848295
1136.438462,-2072.576638,-9696.697840,1915.238745
1136.438774,-1850.514855,-9770.718434,1149.143247
1136.439087,-1332.370696,-9400.615463,842.705048
1136.439399,-1406.391290,-9400.615463,1378.971896
1136.439712,-2220.617826,-9622.677246,2374.896044
1136.440024,-3108.864956,-8956.491898,2451.505594
1136.440337,-2886.803174,-9326.594869,1685.410096
1136.440649,-2886.803174,-9400.615463,689.485948
1136.440962,-3108.864956,-8956.491898,536.266849
1136.441274,-3108.864956,-8512.368333,383.047749
1136.441587,-3849.070898,-8586.388927,1072.533697
1136.441899,-4589.276840,-8734.430116,1608.800546
1136.442211,-4293.194464,-8512.368333,1072.533697
1136.442524,-2886.803174,-8808.450710,842.705048
1136.442836,-3330.926739,-9030.512492,842.705048
1136.443149,-4219.173869,-8216.285956,1455.581446
1136.443461,-3775.050304,-8734.430116,1302.362347
1136.443774,-3108.864956,-8882.471304,1072.533697
1136.444086,-2960.823768,-9474.636058,1072.533697
1136.444399,-3182.885551,-9030.512492,1149.143247
1136.444711,-2738.761985,-9474.636058,1072.533697
1136.445024,-4071.132681,-9030.512492,1378.971896
1136.445336,-4219.173869,-9178.553681,2298.286494
1136.445649,-3701.029710,-8808.450710,2374.896044
1136.445961,-3627.009116,-9104.533087,689.485948
1136.446274,-4293.194464,-8734.430116,842.705048
1136.446586,-3923.091493,-8142.265362,536.266849
1136.446899,-4071.132681,-7994.224174,383.047749
1136.447211,-4219.173869,-8586.388927,536.266849
1136.447524,-4219.173869,-8290.306550,919.314598
1136.447836,-3849.070898,-8512.368333,1378.971896
1136.448148,-3627.009116,-8956.491898,1532.190996
1136.448461,-3923.091493,-9104.533087,1378.971896
1136.448773,-3849.070898,-8882.471304,1225.752797
1136.449086,-3182.885551,-9104.533087,995.924147
1136.449398,-3330.926739,-9252.574275,1225.752797
