#time,accel_x,accel_y,accel_z
730.504386,-3404.947333,-9104.533087,842.705048
730.504698,-3478.967927,-9030.512492,1149.143247
730.505011,-3256.906145,-8586.388927,1225.752797
730.505324,-3627.009116,-8734.430116,919.314598
730.505636,-3478.967927,-8882.471304,842.705048
730.505949,-3552.988522,-8956.491898,995.924147
730.506262,-3701.029710,-8956.491898,1072.533697
730.506574,-3404.947333,-8586.388927,766.095498
730.506887,-3478.967927,-8808.450710,1072.533697
730.507200,-3552.988522,-8734.430116,459.657299
730.507512,-3256.906145,-9030.512492,919.314598
730.507825,-3701.029710,-8734.430116,766.095498
730.508138,-3701.029710,-8882.471304,766.095498
730.508450,-3552.988522,-8956.491898,995.924147
730.508763,-3701.029710,-8956.491898,919.314598
730.509076,-3701.029710,-8882.471304,1149.143247
730.509388,-3627.009116,-8586.388927,842.705048
730.509701,-3849.070898,-8512.368333,919.314598
730.510014,-3404.947333,-8660.409521,766.095498
730.510326,-3627.009116,-8808.450710,919.314598
730.510639,-3627.009116,-8660.409521,919.314598
730.510952,-3701.029710,-8882.471304,689.485948
730.511264,-3627.009116,-8882.471304,919.314598
730.511577,-3775.050304,-9104.533087,842.705048
730.511890,-3478.967927,-9104.533087,1072.533697
730.512202,-3627.009116,-8734.430116,919.314598
730.512515,-3627.009116,-8734.430116,919.314598
730.512828,-3701.029710,-8956.491898,842.705048
730.513140,-3627.009116,-8882.471304,919.314598
730.513453,-3701.029710,-8882.471304,919.314598
730.513765,-3627.009116,-8808.450710,1072.533697
730.514078,-3627.009116,-8216.285956,689.485948
730.514391,-3552.988522,-8364.327145,383.047749
730.514703,-3627.009116,-8660.409521,1302.362347
730.515016,-3627.009116,-8808.450710,689.485948
730.515329,-3627.009116,-8956.491898,766.095498
730.515641,-3701.029710,-8882.471304,842.705048
730.515954,-3701.029710,-8808.450710,919.314598
730.516267,-3330.926739,-9474.636058,1072.533697
730.516579,-3330.926739,-8882.471304,689.485948
730.516892,-3701.029710,-8882.471304,1302.362347
730.517205,-3256.906145,-9030.512492,1532.190996
730.517517,-3775.050304,-8660.409521,919.314598
730.517830,-3552.988522,-8808.450710,1072.533697
730.518143,-3849.070898,-8586.388927,689.485948
730.518455,-3627.009116,-8956.491898,919.314598
730.518768,-3775.050304,-8142.265362,766.095498
730.519081,-3849.070898,-8512.368333,612.876398
730.519393,-2960.823768,-8660.409521,1149.143247
730.519706,-3775.050304,-8586.388927,1225.752797
730.520019,-3627.009116,-8956.491898,995.924147
730.520331,-3701.029710,-8808.450710,1072.533697
730.520644,-3701.029710,-9030.512492,919.314598
730.520957,-3552.988522,-8734.430116,919.314598
730.521269,-3182.885551,-8956.491898,689.485948
730.521582,-3330.926739,-8808.450710,995.924147
730.521895,-3330.926739,-8882.471304,1685.410096
730.522207,-3552.988522,-8734.430116,689.485948
730.522520,-3552.988522,-8956.491898,842.705048
730.522833,-3701.029710,-8808.450710,919.314598
730.523145,-3775.050304,-9030.512492,995.924147
730.523458,-3849.070898,-8734.430116,689.485948
730.523771,-3478.967927,-8956.491898,919.314598
730.524083,-3923.091493,-8734.430116,919.314598
730.524396,-3627.009116,-8512.368333,766.095498
730.524709,-3701.029710,-8808.450710,766.095498
730.525021,-3701.029710,-8808.450710,1072.533697
730.525334,-3701.029710,-8660.409521,995.924147
730.525647,-3627.009116,-8882.471304,766.095498
730.525959,-3182.885551,-8512.368333,1378.971896
730.526272,-3701.029710,-8808.450710,1225.752797
730.526585,-3849.070898,-8808.450710,1149.143247
730.526897,-3627.009116,-8734.430116,1149.143247
730.527210,-3775.050304,-8808.450710,689.485948
730.527523,-3552.988522,-8956.491898,766.095498
730.527835,-3552.988522,-8882.471304,919.314598
730.528148,-3701.029710,-8882.471304,919.314598
730.528461,-3404.947333,-8882.471304,1072.533697
730.528773,-3330.926739,-8808.450710,1149.143247
730.529086,-3478.967927,-8142.265362,766.095498
730.529399,-3256.906145,-8586.388927,536.266849
730.529711,-3182.885551,-8882.471304,766.095498
730.530024,-3256.906145,-8586.388927,689.485948
730.530337,-3478.967927,-8956.491898,383.047749
730.530649,-3701.029710,-9178.553681,536.266849
730.530962,-3552.988522,-9252.574275,459.657299
730.531275,-3849.070898,-8956.491898,1608.800546
730.531587,-4071.132681,-9030.512492,1455.581446
730.531900,-3775.050304,-9104.533087,1455.581446
730.532212,-3627.009116,-8956.491898,919.314598
730.532525,-3775.050304,-8438.347739,459.657299
730.532838,-3849.070898,-8882.471304,76.609550
730.533150,-3256.906145,-8956.491898,459.657299
730.533463,-2960.823768,-8660.409521,842.705048
730.533776,-3478.967927,-8290.306550,842.705048
730.534088,-3330.926739,-8364.327145,1302.362347
730.534401,-3404.947333,-8586.388927,1302.362347
730.534714,-3552.988522,-8956.491898,1149.143247
730.535026,-3404.947333,-9178.553681,919.314598
730.535339,-3330.926739,-9252.574275,612.876398
730.535652,-3108.864956,-8882.471304,306.438199
730.535964,-3330.926739,-8142.265362,766.095498
730.536277,-3478.967927,-8956.491898,995.924147
730.536590,-3404.947333,-9400.615463,1225.752797
730.536902,-3627.009116,-8808.450710,919.314598
730.537215,-3923.091493,-9030.512492,766.095498
730.537528,-3552.988522,-9400.615463,536.266849
730.537840,-3701.029710,-8882.471304,306.438199
730.538153,-3552.988522,-8068.244768,0.000000
730.538466,-3108.864956,-9104.533087,766.095498
730.538778,-3108.864956,-8882.471304,459.657299
730.539091,-3404.947333,-8438.347739,-306.438199
730.539404,-3552.988522,-8438.347739,536.266849
730.539716,-3627.009116,-9474.636058,1072.533697
730.540029,-3330.926739,-9474.636058,919.314598
730.540342,-3330.926739,-8956.491898,995.924147
730.540654,-3923.091493,-8734.430116,1149.143247
730.540967,-3701.029710,-9696.697840,1149.143247
730.541280,-3330.926739,-8956.491898,306.438199
730.541592,-3923.091493,-8438.347739,153.219100
730.541905,-4071.132681,-8512.368333,76.609550
730.542218,-3627.009116,-8438.347739,0.000000
730.542530,-1184.329507,-9474.636058,-612.876398
730.542843,-1036.288319,-9770.718434,-306.438199
730.543156,-2072.576638,-8586.388927,612.876398
730.543468,-1702.473667,-7846.182985,1149.143247
730.543781,-2294.638420,-9400.615463,612.876398
730.544094,-1554.432478,-10362.883188,459.657299
730.544406,-296.082377,-9622.677246,-995.924147
730.544719,-888.247130,-9030.512492,0.000000
730.545032,-1850.514855,-9696.697840,1455.581446
730.545344,-2590.720797,-10288.862594,2681.334243
730.545657,-2812.782580,-9696.697840,1072.533697
730.545970,-3182.885551,-9696.697840,766.095498
730.546282,-3627.009116,-9844.739029,-153.219100
730.546595,-3404.947333,-8586.388927,-766.095498
730.546908,-3330.926739,-7772.162391,-1149.143247
730.547220,-4959.379811,-7994.224174,0.000000
730.547533,-5181.441594,-8290.306550,0.000000
730.547846,-4515.256246,-7920.203579,-1149.143247
730.548158,-2368.659014,-8068.244768,-2221.676944
730.548471,-3256.906145,-8364.327145,-1149.143247
730.548784,-3552.988522,-7994.224174,689.485948
730.549096,-3330.926739,-9030.512492,1072.533697
730.549409,-3108.864956,-9178.553681,536.266849
730.549722,-3627.009116,-9770.718434,459.657299
730.550034,-3330.926739,-9252.574275,-383.047749
730.550347,-2590.720797,-9696.697840,-383.047749
730.550659,-3997.112087,-9844.739029,612.876398
730.550972,-4663.297435,-9400.615463,689.485948
730.551285,-3701.029710,-9252.574275,919.314598
730.551597,-4589.276840,-9474.636058,306.438199
730.551910,-4515.256246,-8956.491898,76.609550
730.552223,-3775.050304,-8660.409521,-612.876398
730.552535,-4071.132681,-8808.450710,-536.266849
730.552848,-4589.276840,-8068.244768,229.828649
730.553161,-4589.276840,-7920.203579,919.314598
730.553473,-4589.276840,-8586.388927,1378.971896
730.553786,-3849.070898,-8734.430116,153.219100
730.554099,-3849.070898,-8660.409521,0.000000
730.554411,-3552.988522,-8512.368333,229.828649
730.554724,-3404.947333,-9104.533087,919.314598
730.555037,-3849.070898,-9178.553681,1532.190996
